Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,SEX,COMPOSITE_BREAKDOWN,Value
2018,SE_TOT_PRFL,PT,ISCED11_2,_T,SKILL_MATH,42.44
2018,SE_TOT_PRFL,PT,ISCED11_2,_T,SKILL_READ,46.32
2018,SE_TOT_PRFL,PT,ISCED11_2,M,SKILL_READ,38.29
2018,SE_TOT_PRFL,PT,ISCED11_2,F,SKILL_READ,54.77
2019,SE_TOT_PRFL,PT,ISCED11_1,F,SKILL_MATH,36.47
2019,SE_TOT_PRFL,PT,ISCED11_1,M,SKILL_MATH,42.57
2019,SE_TOT_PRFL,PT,ISCED11_1,_T,SKILL_MATH,39.55
