Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,SP_ACS_BSRVH2O,PT,_T,97.2697
2001,SP_ACS_BSRVH2O,PT,_T,97.22156
2002,SP_ACS_BSRVH2O,PT,_T,97.17081
2003,SP_ACS_BSRVH2O,PT,_T,97.11741
2004,SP_ACS_BSRVH2O,PT,_T,97.0614
2005,SP_ACS_BSRVH2O,PT,_T,97.00271
2006,SP_ACS_BSRVH2O,PT,_T,96.94138
2007,SP_ACS_BSRVH2O,PT,_T,96.8774
2008,SP_ACS_BSRVH2O,PT,_T,96.81075
2009,SP_ACS_BSRVH2O,PT,_T,96.74145
2010,SP_ACS_BSRVH2O,PT,_T,96.66949
2011,SP_ACS_BSRVH2O,PT,_T,96.59487
2012,SP_ACS_BSRVH2O,PT,_T,96.45003
2013,SP_ACS_BSRVH2O,PT,_T,96.352
2014,SP_ACS_BSRVH2O,PT,_T,96.16813
2015,SP_ACS_BSRVH2O,PT,_T,96.15984
2016,SP_ACS_BSRVH2O,PT,_T,96.15126
2017,SP_ACS_BSRVH2O,PT,_T,96.14236
2018,SP_ACS_BSRVH2O,PT,_T,96.0
2019,SP_ACS_BSRVH2O,PT,_T,96.0
2020,SP_ACS_BSRVH2O,PT,_T,96.0
2021,SP_ACS_BSRVH2O,PT,_T,96.0
2022,SP_ACS_BSRVH2O,PT,_T,96.0
2000,SP_ACS_BSRVH2O,PT,R,96.25556
2001,SP_ACS_BSRVH2O,PT,R,96.35999
2002,SP_ACS_BSRVH2O,PT,R,96.46407
2003,SP_ACS_BSRVH2O,PT,R,96.56778
2004,SP_ACS_BSRVH2O,PT,R,96.67113
2005,SP_ACS_BSRVH2O,PT,R,96.77412
2006,SP_ACS_BSRVH2O,PT,R,96.87676
2007,SP_ACS_BSRVH2O,PT,R,96.97903
2008,SP_ACS_BSRVH2O,PT,R,97.08093
2009,SP_ACS_BSRVH2O,PT,R,97.18248
2010,SP_ACS_BSRVH2O,PT,R,97.28367
2011,SP_ACS_BSRVH2O,PT,R,97.3845
2012,SP_ACS_BSRVH2O,PT,R,97.35945
2013,SP_ACS_BSRVH2O,PT,R,97.425
2014,SP_ACS_BSRVH2O,PT,R,97.33333
2015,SP_ACS_BSRVH2O,PT,R,97.33333
2016,SP_ACS_BSRVH2O,PT,R,97.33333
2017,SP_ACS_BSRVH2O,PT,R,97.33333
2018,SP_ACS_BSRVH2O,PT,R,97.33333
2019,SP_ACS_BSRVH2O,PT,R,97.33333
2020,SP_ACS_BSRVH2O,PT,R,97.33333
2021,SP_ACS_BSRVH2O,PT,R,97.33333
2022,SP_ACS_BSRVH2O,PT,R,97.33333
2000,SP_ACS_BSRVH2O,PT,U,98.64831
2001,SP_ACS_BSRVH2O,PT,U,98.3778
2002,SP_ACS_BSRVH2O,PT,U,98.10712
2003,SP_ACS_BSRVH2O,PT,U,97.83626
2004,SP_ACS_BSRVH2O,PT,U,97.56524
2005,SP_ACS_BSRVH2O,PT,U,97.29405
2006,SP_ACS_BSRVH2O,PT,U,97.02269
2007,SP_ACS_BSRVH2O,PT,U,96.75116
2008,SP_ACS_BSRVH2O,PT,U,96.47946
2009,SP_ACS_BSRVH2O,PT,U,96.20759
2010,SP_ACS_BSRVH2O,PT,U,95.93555
2011,SP_ACS_BSRVH2O,PT,U,95.66334
2012,SP_ACS_BSRVH2O,PT,U,95.39097
2013,SP_ACS_BSRVH2O,PT,U,95.11842
2014,SP_ACS_BSRVH2O,PT,U,94.8457
2015,SP_ACS_BSRVH2O,PT,U,94.8457
2016,SP_ACS_BSRVH2O,PT,U,94.8457
2017,SP_ACS_BSRVH2O,PT,U,94.8457
2018,SP_ACS_BSRVH2O,PT,U,95.0
2019,SP_ACS_BSRVH2O,PT,U,95.0
2020,SP_ACS_BSRVH2O,PT,U,95.0
2021,SP_ACS_BSRVH2O,PT,U,95.0
2022,SP_ACS_BSRVH2O,PT,U,95.0
2000,SP_ACS_BSRVSAN,PT,_T,95.07844
2001,SP_ACS_BSRVSAN,PT,_T,95.0888
2002,SP_ACS_BSRVSAN,PT,_T,95.09814
2003,SP_ACS_BSRVSAN,PT,_T,95.10886
2004,SP_ACS_BSRVSAN,PT,_T,95.12025
2005,SP_ACS_BSRVSAN,PT,_T,95.13579
2006,SP_ACS_BSRVSAN,PT,_T,95.15163
2007,SP_ACS_BSRVSAN,PT,_T,95.1679
2008,SP_ACS_BSRVSAN,PT,_T,95.18446
2009,SP_ACS_BSRVSAN,PT,_T,95.20132
2010,SP_ACS_BSRVSAN,PT,_T,95.21849
2011,SP_ACS_BSRVSAN,PT,_T,95.23601
2012,SP_ACS_BSRVSAN,PT,_T,95.25391
2013,SP_ACS_BSRVSAN,PT,_T,95.27204
2014,SP_ACS_BSRVSAN,PT,_T,95.29053
2015,SP_ACS_BSRVSAN,PT,_T,95.31294
2016,SP_ACS_BSRVSAN,PT,_T,95.33615
2017,SP_ACS_BSRVSAN,PT,_T,95.36024
2018,SP_ACS_BSRVSAN,PT,_T,95.3851
2000,SP_ACS_BSRVSAN,PT,R,92.58207
2001,SP_ACS_BSRVSAN,PT,R,92.53648
2002,SP_ACS_BSRVSAN,PT,R,92.4909
2003,SP_ACS_BSRVSAN,PT,R,92.44531
2004,SP_ACS_BSRVSAN,PT,R,92.39972
2005,SP_ACS_BSRVSAN,PT,R,92.37374
2006,SP_ACS_BSRVSAN,PT,R,92.34775
2007,SP_ACS_BSRVSAN,PT,R,92.32174
2008,SP_ACS_BSRVSAN,PT,R,92.2957
2009,SP_ACS_BSRVSAN,PT,R,92.26965
2010,SP_ACS_BSRVSAN,PT,R,92.24358
