Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,Value
2019,SE_ACS_CMPTR,PT,PRIMAR,27.8542
2018,SE_ACS_CMPTR,PT,SECOND,100.0
2018,SE_ACS_INTNT,PT,SECOND,93.5772
