Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2000,EG_ACS_ELEC,PT,_T,100.0
2001,EG_ACS_ELEC,PT,_T,99.4
2002,EG_ACS_ELEC,PT,_T,98.5
2003,EG_ACS_ELEC,PT,_T,100.0
2004,EG_ACS_ELEC,PT,_T,100.0
2005,EG_ACS_ELEC,PT,_T,100.0
2006,EG_ACS_ELEC,PT,_T,99.4
2007,EG_ACS_ELEC,PT,_T,99.7
2008,EG_ACS_ELEC,PT,_T,100.0
2009,EG_ACS_ELEC,PT,_T,100.0
2010,EG_ACS_ELEC,PT,_T,100.0
2011,EG_ACS_ELEC,PT,_T,99.7
2012,EG_ACS_ELEC,PT,_T,100.0
2013,EG_ACS_ELEC,PT,_T,99.5
2014,EG_ACS_ELEC,PT,_T,100.0
2015,EG_ACS_ELEC,PT,_T,99.7
2016,EG_ACS_ELEC,PT,_T,100.0
2017,EG_ACS_ELEC,PT,_T,100.0
2018,EG_ACS_ELEC,PT,_T,100.0
2019,EG_ACS_ELEC,PT,_T,100.0
2020,EG_ACS_ELEC,PT,_T,100.0
2000,EG_ACS_ELEC,PT,R,100.0
2001,EG_ACS_ELEC,PT,R,100.0
2002,EG_ACS_ELEC,PT,R,100.0
2003,EG_ACS_ELEC,PT,R,100.0
2004,EG_ACS_ELEC,PT,R,100.0
2005,EG_ACS_ELEC,PT,R,100.0
2006,EG_ACS_ELEC,PT,R,100.0
2007,EG_ACS_ELEC,PT,R,100.0
2008,EG_ACS_ELEC,PT,R,100.0
2009,EG_ACS_ELEC,PT,R,100.0
2010,EG_ACS_ELEC,PT,R,100.0
2011,EG_ACS_ELEC,PT,R,100.0
2012,EG_ACS_ELEC,PT,R,100.0
2013,EG_ACS_ELEC,PT,R,100.0
2014,EG_ACS_ELEC,PT,R,100.0
2015,EG_ACS_ELEC,PT,R,100.0
2016,EG_ACS_ELEC,PT,R,100.0
2017,EG_ACS_ELEC,PT,R,100.0
2018,EG_ACS_ELEC,PT,R,100.0
2019,EG_ACS_ELEC,PT,R,100.0
2020,EG_ACS_ELEC,PT,R,100.0
2000,EG_ACS_ELEC,PT,U,100.0
2001,EG_ACS_ELEC,PT,U,100.0
2002,EG_ACS_ELEC,PT,U,99.3
2003,EG_ACS_ELEC,PT,U,100.0
2004,EG_ACS_ELEC,PT,U,100.0
2005,EG_ACS_ELEC,PT,U,100.0
2006,EG_ACS_ELEC,PT,U,99.7
2007,EG_ACS_ELEC,PT,U,100.0
2008,EG_ACS_ELEC,PT,U,100.0
2009,EG_ACS_ELEC,PT,U,100.0
2010,EG_ACS_ELEC,PT,U,100.0
2011,EG_ACS_ELEC,PT,U,99.8
2012,EG_ACS_ELEC,PT,U,100.0
2013,EG_ACS_ELEC,PT,U,100.0
2014,EG_ACS_ELEC,PT,U,100.0
2015,EG_ACS_ELEC,PT,U,100.0
2016,EG_ACS_ELEC,PT,U,100.0
2017,EG_ACS_ELEC,PT,U,100.0
2018,EG_ACS_ELEC,PT,U,100.0
2019,EG_ACS_ELEC,PT,U,100.0
2020,EG_ACS_ELEC,PT,U,100.0
2021,EG_ACS_ELEC,PT,U,100.0
