Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2017,EN_ATM_PM25,GPERM3,_T,31.2315
2018,EN_ATM_PM25,GPERM3,_T,31.7279
2019,EN_ATM_PM25,GPERM3,_T,26.025
2017,EN_ATM_PM25,GPERM3,CITY,40.1238
2018,EN_ATM_PM25,GPERM3,CITY,39.3003
2019,EN_ATM_PM25,GPERM3,CITY,32.3591
2017,EN_ATM_PM25,GPERM3,R,28.3665
2018,EN_ATM_PM25,GPERM3,R,29.0204
2019,EN_ATM_PM25,GPERM3,R,23.7731
2017,EN_ATM_PM25,GPERM3,TSUB,33.4398
2018,EN_ATM_PM25,GPERM3,TSUB,34.1962
2019,EN_ATM_PM25,GPERM3,TSUB,28.0478
2017,EN_ATM_PM25,GPERM3,U,35.6002
2018,EN_ATM_PM25,GPERM3,U,35.8449
2019,EN_ATM_PM25,GPERM3,U,29.4394
