Year,SERIES,UNIT_MEASURE,PRODUCT,Value
2005,TM_TAX_WMFN,PT,AGR,15.79221
2010,TM_TAX_WMFN,PT,AGR,16.30277
2015,TM_TAX_WMFN,PT,AGR,15.82199
2016,TM_TAX_WMFN,PT,AGR,15.3037
2017,TM_TAX_WMFN,PT,AGR,15.00477
2018,TM_TAX_WMFN,PT,AGR,15.10976
2019,TM_TAX_WMFN,PT,AGR,16.01302
2020,TM_TAX_WMFN,PT,AGR,15.70981
2021,TM_TAX_WMFN,PT,AGR,16.51239
2022,TM_TAX_WMFN,PT,AGR,15.03258
2023,TM_TAX_WMFN,PT,AGR,16.38086
2024,TM_TAX_WMFN,PT,AGR,16.22867
2005,TM_TAX_WMFN,PT,ALP,7.91315
2010,TM_TAX_WMFN,PT,ALP,7.54494
2015,TM_TAX_WMFN,PT,ALP,7.88609
2016,TM_TAX_WMFN,PT,ALP,7.67387
2017,TM_TAX_WMFN,PT,ALP,7.75035
2018,TM_TAX_WMFN,PT,ALP,8.00909
2019,TM_TAX_WMFN,PT,ALP,7.73552
2020,TM_TAX_WMFN,PT,ALP,8.41333
2021,TM_TAX_WMFN,PT,ALP,7.97562
2022,TM_TAX_WMFN,PT,ALP,7.36344
2023,TM_TAX_WMFN,PT,ALP,8.2713
2024,TM_TAX_WMFN,PT,ALP,8.3286
2005,TM_TAX_WMFN,PT,ARM,14.28337
2019,TM_TAX_WMFN,PT,ARM,9.8403
2020,TM_TAX_WMFN,PT,ARM,11.63443
2021,TM_TAX_WMFN,PT,ARM,11.76048
2022,TM_TAX_WMFN,PT,ARM,14.20227
2023,TM_TAX_WMFN,PT,ARM,11.289
2024,TM_TAX_WMFN,PT,ARM,11.289
2005,TM_TAX_WMFN,PT,CLO,15.0
2010,TM_TAX_WMFN,PT,CLO,15.0
2015,TM_TAX_WMFN,PT,CLO,15.0
2016,TM_TAX_WMFN,PT,CLO,15.0
2017,TM_TAX_WMFN,PT,CLO,15.0
2018,TM_TAX_WMFN,PT,CLO,15.0
2019,TM_TAX_WMFN,PT,CLO,15.0
2020,TM_TAX_WMFN,PT,CLO,15.0
2021,TM_TAX_WMFN,PT,CLO,15.0
2022,TM_TAX_WMFN,PT,CLO,15.0
2023,TM_TAX_WMFN,PT,CLO,15.0
2024,TM_TAX_WMFN,PT,CLO,15.0
2005,TM_TAX_WMFN,PT,IND,6.0594
2010,TM_TAX_WMFN,PT,IND,5.6095
2015,TM_TAX_WMFN,PT,IND,5.9615
2016,TM_TAX_WMFN,PT,IND,5.7965
2017,TM_TAX_WMFN,PT,IND,6.0263
2018,TM_TAX_WMFN,PT,IND,6.027
2019,TM_TAX_WMFN,PT,IND,5.641
2020,TM_TAX_WMFN,PT,IND,6.3567
2021,TM_TAX_WMFN,PT,IND,5.8073
2022,TM_TAX_WMFN,PT,IND,5.41236
2023,TM_TAX_WMFN,PT,IND,6.07317
2024,TM_TAX_WMFN,PT,IND,6.15136
2005,TM_TAX_WMFN,PT,OIL,0.0
2010,TM_TAX_WMFN,PT,OIL,0.0
2015,TM_TAX_WMFN,PT,OIL,0.0
2016,TM_TAX_WMFN,PT,OIL,0.0
2017,TM_TAX_WMFN,PT,OIL,0.0
2018,TM_TAX_WMFN,PT,OIL,0.0
2019,TM_TAX_WMFN,PT,OIL,0.0
2020,TM_TAX_WMFN,PT,OIL,0.0
2021,TM_TAX_WMFN,PT,OIL,0.0
2022,TM_TAX_WMFN,PT,OIL,0.0
2023,TM_TAX_WMFN,PT,OIL,0.0
2024,TM_TAX_WMFN,PT,OIL,0.0
2005,TM_TAX_WMFN,PT,TEX,10.1987
2010,TM_TAX_WMFN,PT,TEX,9.5043
2015,TM_TAX_WMFN,PT,TEX,9.2258
2016,TM_TAX_WMFN,PT,TEX,9.217
2017,TM_TAX_WMFN,PT,TEX,9.2486
2018,TM_TAX_WMFN,PT,TEX,9.2486
2019,TM_TAX_WMFN,PT,TEX,9.5292
2020,TM_TAX_WMFN,PT,TEX,9.5745
2021,TM_TAX_WMFN,PT,TEX,9.6882
2022,TM_TAX_WMFN,PT,TEX,9.66087
2023,TM_TAX_WMFN,PT,TEX,9.64818
2024,TM_TAX_WMFN,PT,TEX,9.80208
2005,TM_TAX_WMPS,PT,AGR,6.0797
2010,TM_TAX_WMPS,PT,AGR,3.4821
2015,TM_TAX_WMPS,PT,AGR,2.1827
2016,TM_TAX_WMPS,PT,AGR,2.1422
2017,TM_TAX_WMPS,PT,AGR,2.3214
2018,TM_TAX_WMPS,PT,AGR,2.4105
2019,TM_TAX_WMPS,PT,AGR,2.2068
2020,TM_TAX_WMPS,PT,AGR,2.1796
2021,TM_TAX_WMPS,PT,AGR,2.2691
2022,TM_TAX_WMPS,PT,AGR,2.35067
2023,TM_TAX_WMPS,PT,AGR,2.24231
2024,TM_TAX_WMPS,PT,AGR,2.32643
2005,TM_TAX_WMPS,PT,ALP,2.3314
2010,TM_TAX_WMPS,PT,ALP,1.7838
2015,TM_TAX_WMPS,PT,ALP,1.323
2016,TM_TAX_WMPS,PT,ALP,1.3079
2017,TM_TAX_WMPS,PT,ALP,1.3212
2018,TM_TAX_WMPS,PT,ALP,1.3784
2019,TM_TAX_WMPS,PT,ALP,1.4047
2020,TM_TAX_WMPS,PT,ALP,1.4634
2021,TM_TAX_WMPS,PT,ALP,1.7175
2022,TM_TAX_WMPS,PT,ALP,1.7729
2023,TM_TAX_WMPS,PT,ALP,1.86244
2024,TM_TAX_WMPS,PT,ALP,1.89703
2005,TM_TAX_WMPS,PT,ARM,4.9468
2019,TM_TAX_WMPS,PT,ARM,0.6097
2020,TM_TAX_WMPS,PT,ARM,1.7941
2021,TM_TAX_WMPS,PT,ARM,2.0527
2022,TM_TAX_WMPS,PT,ARM,2.6615
2023,TM_TAX_WMPS,PT,ARM,2.67578
2024,TM_TAX_WMPS,PT,ARM,2.67578
2005,TM_TAX_WMPS,PT,CLO,6.7385
2010,TM_TAX_WMPS,PT,CLO,7.945
2015,TM_TAX_WMPS,PT,CLO,6.9181
2016,TM_TAX_WMPS,PT,CLO,6.9181
2017,TM_TAX_WMPS,PT,CLO,7.0286
