Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2006,SL_TLF_MANF,PT,ISIC4_C,17.0
2007,SL_TLF_MANF,PT,ISIC4_C,17.9
2008,SL_TLF_MANF,PT,ISIC4_C,16.6
2009,SL_TLF_MANF,PT,ISIC4_C,16.4
2010,SL_TLF_MANF,PT,ISIC4_C,16.8
2011,SL_TLF_MANF,PT,ISIC4_C,16.0
2012,SL_TLF_MANF,PT,ISIC4_C,15.5
2013,SL_TLF_MANF,PT,ISIC4_C,16.0
2014,SL_TLF_MANF,PT,ISIC4_C,16.1
2015,SL_TLF_MANF,PT,ISIC4_C,16.1
2016,SL_TLF_MANF,PT,ISIC4_C,17.3
2017,SL_TLF_MANF,PT,ISIC4_C,16.5
2018,SL_TLF_MANF,PT,ISIC4_C,17.7
2019,SL_TLF_MANF,PT,ISIC4_C,18.6
2020,SL_TLF_MANF,PT,ISIC4_C,18.9
