Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2000,NV_IND_MANF,PT,ISIC4_C,8.26
2001,NV_IND_MANF,PT,ISIC4_C,8.59
2002,NV_IND_MANF,PT,ISIC4_C,8.86
2003,NV_IND_MANF,PT,ISIC4_C,8.79
2004,NV_IND_MANF,PT,ISIC4_C,8.65
2005,NV_IND_MANF,PT,ISIC4_C,9.11
2006,NV_IND_MANF,PT,ISIC4_C,9.88
2007,NV_IND_MANF,PT,ISIC4_C,10.32
2008,NV_IND_MANF,PT,ISIC4_C,10.42
2009,NV_IND_MANF,PT,ISIC4_C,10.16
2010,NV_IND_MANF,PT,ISIC4_C,10.79
2011,NV_IND_MANF,PT,ISIC4_C,10.69
2012,NV_IND_MANF,PT,ISIC4_C,10.69
2013,NV_IND_MANF,PT,ISIC4_C,10.97
2014,NV_IND_MANF,PT,ISIC4_C,11.31
2015,NV_IND_MANF,PT,ISIC4_C,11.67
2016,NV_IND_MANF,PT,ISIC4_C,11.92
2017,NV_IND_MANF,PT,ISIC4_C,12.52
2018,NV_IND_MANF,PT,ISIC4_C,12.28
2019,NV_IND_MANF,PT,ISIC4_C,11.95
2020,NV_IND_MANF,PT,ISIC4_C,11.81
2021,NV_IND_MANF,PT,ISIC4_C,12.56
2022,NV_IND_MANF,PT,ISIC4_C,12.72
2000,NV_IND_MANF_CD,PT,ISIC4_C,9.3
2001,NV_IND_MANF_CD,PT,ISIC4_C,9.41
2002,NV_IND_MANF_CD,PT,ISIC4_C,9.31
2003,NV_IND_MANF_CD,PT,ISIC4_C,9.3
2004,NV_IND_MANF_CD,PT,ISIC4_C,9.12
2005,NV_IND_MANF_CD,PT,ISIC4_C,9.94
2006,NV_IND_MANF_CD,PT,ISIC4_C,10.02
2007,NV_IND_MANF_CD,PT,ISIC4_C,10.81
2008,NV_IND_MANF_CD,PT,ISIC4_C,11.01
2009,NV_IND_MANF_CD,PT,ISIC4_C,10.48
2010,NV_IND_MANF_CD,PT,ISIC4_C,10.88
2011,NV_IND_MANF_CD,PT,ISIC4_C,10.92
2012,NV_IND_MANF_CD,PT,ISIC4_C,10.55
2013,NV_IND_MANF_CD,PT,ISIC4_C,10.94
2014,NV_IND_MANF_CD,PT,ISIC4_C,10.94
2015,NV_IND_MANF_CD,PT,ISIC4_C,11.67
2016,NV_IND_MANF_CD,PT,ISIC4_C,12.37
2017,NV_IND_MANF_CD,PT,ISIC4_C,13.12
2018,NV_IND_MANF_CD,PT,ISIC4_C,13.23
2019,NV_IND_MANF_CD,PT,ISIC4_C,12.94
2020,NV_IND_MANF_CD,PT,ISIC4_C,13.11
2021,NV_IND_MANF_CD,PT,ISIC4_C,14.44
2000,NV_IND_MANFPC,CON_USD,ISIC4_C,211.1
2001,NV_IND_MANFPC,CON_USD,ISIC4_C,223.93
2002,NV_IND_MANFPC,CON_USD,ISIC4_C,242.43
2003,NV_IND_MANFPC,CON_USD,ISIC4_C,250.64
2004,NV_IND_MANFPC,CON_USD,ISIC4_C,264.86
2005,NV_IND_MANFPC,CON_USD,ISIC4_C,293.19
2006,NV_IND_MANFPC,CON_USD,ISIC4_C,338.17
2007,NV_IND_MANFPC,CON_USD,ISIC4_C,378.83
2008,NV_IND_MANFPC,CON_USD,ISIC4_C,409.7
2009,NV_IND_MANFPC,CON_USD,ISIC4_C,393.88
2010,NV_IND_MANFPC,CON_USD,ISIC4_C,429.67
2011,NV_IND_MANFPC,CON_USD,ISIC4_C,437.29
2012,NV_IND_MANFPC,CON_USD,ISIC4_C,441.9
2013,NV_IND_MANFPC,CON_USD,ISIC4_C,471.32
2014,NV_IND_MANFPC,CON_USD,ISIC4_C,497.97
2015,NV_IND_MANFPC,CON_USD,ISIC4_C,536.83
2016,NV_IND_MANFPC,CON_USD,ISIC4_C,572.79
2017,NV_IND_MANFPC,CON_USD,ISIC4_C,627.77
2018,NV_IND_MANFPC,CON_USD,ISIC4_C,646.34
2019,NV_IND_MANFPC,CON_USD,ISIC4_C,654.49
2020,NV_IND_MANFPC,CON_USD,ISIC4_C,634.5
2021,NV_IND_MANFPC,CON_USD,ISIC4_C,736.53
2022,NV_IND_MANFPC,CON_USD,ISIC4_C,782.89
