Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2012,VC_HTF_DETVOG,NUMBER,F,_T,
2014,VC_HTF_DETVOG,NUMBER,F,_T,
2015,VC_HTF_DETVOG,NUMBER,F,_T,
2016,VC_HTF_DETVOG,NUMBER,F,_T,
2005,VC_HTF_DETVOG,NUMBER,M,_T,
2006,VC_HTF_DETVOG,NUMBER,M,_T,
2007,VC_HTF_DETVOG,NUMBER,M,_T,
2008,VC_HTF_DETVOG,NUMBER,M,_T,
2009,VC_HTF_DETVOG,NUMBER,M,_T,
2010,VC_HTF_DETVOG,NUMBER,M,_T,
2011,VC_HTF_DETVOG,NUMBER,M,_T,
2012,VC_HTF_DETVOG,NUMBER,M,_T,
2014,VC_HTF_DETVOG,NUMBER,M,_T,
2015,VC_HTF_DETVOG,NUMBER,M,_T,
2016,VC_HTF_DETVOG,NUMBER,M,_T,
2014,VC_HTF_DETVSX,NUMBER,F,Y0T17,
2014,VC_HTF_DETVSX,NUMBER,M,Y0T17,6.0
2014,VC_HTF_DETVSX,NUMBER,F,Y_GE18,
2015,VC_HTF_DETVSX,NUMBER,F,Y_GE18,
2016,VC_HTF_DETVSX,NUMBER,F,Y_GE18,
2014,VC_HTF_DETVSX,NUMBER,M,Y_GE18,
2015,VC_HTF_DETVSX,NUMBER,M,Y_GE18,6.0
2016,VC_HTF_DETVSX,NUMBER,M,Y_GE18,7.0
2010,VC_HTF_DETVSX,NUMBER,F,_T,
2011,VC_HTF_DETVSX,NUMBER,F,_T,
2012,VC_HTF_DETVSX,NUMBER,F,_T,
2014,VC_HTF_DETVSX,NUMBER,F,_T,
2015,VC_HTF_DETVSX,NUMBER,F,_T,
2016,VC_HTF_DETVSX,NUMBER,F,_T,
2010,VC_HTF_DETVSX,NUMBER,M,_T,
2011,VC_HTF_DETVSX,NUMBER,M,_T,
2012,VC_HTF_DETVSX,NUMBER,M,_T,
2014,VC_HTF_DETVSX,NUMBER,M,_T,
2015,VC_HTF_DETVSX,NUMBER,M,_T,
2016,VC_HTF_DETVSX,NUMBER,M,_T,
2005,VC_HTF_DETV,NUMBER,_T,_T,65.0
2010,VC_HTF_DETV,NUMBER,_T,_T,8.0
2011,VC_HTF_DETV,NUMBER,_T,_T,18.0
2012,VC_HTF_DETV,NUMBER,_T,_T,20.0
2014,VC_HTF_DETV,NUMBER,_T,_T,10.0
2015,VC_HTF_DETV,NUMBER,_T,_T,6.0
2016,VC_HTF_DETV,NUMBER,_T,_T,7.0
2017,VC_HTF_DETV,NUMBER,_T,_T,10.0
2018,VC_HTF_DETV,NUMBER,_T,_T,9.0
2019,VC_HTF_DETV,NUMBER,_T,_T,15.0
2020,VC_HTF_DETV,NUMBER,_T,_T,17.0
