Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,4.69667
2001,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,4.7911
2002,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,4.92717
2003,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,4.69667
2004,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.16427
2005,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.40879
2006,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.6915
2007,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.8936
2008,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.92371
2009,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.85432
2010,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.7708
2011,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.85493
2012,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.88522
2013,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.83639
2014,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.81513
2015,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,5.99401
2016,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.24929
2017,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.42091
2018,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.382939
2019,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.156439
2020,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.09327
2021,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.21389
2022,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.45061
2023,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.56786
2024,SH_ALC_CONSPT,LITRES,15+,BOTHSEX,6.56786
2000,SH_ALC_CONSPT,LITRES,Y_GE15,F,
2005,SH_ALC_CONSPT,LITRES,Y_GE15,F,
2010,SH_ALC_CONSPT,LITRES,Y_GE15,F,
2015,SH_ALC_CONSPT,LITRES,Y_GE15,F,
2019,SH_ALC_CONSPT,LITRES,Y_GE15,F,
2000,SH_ALC_CONSPT,LITRES,Y_GE15,M,
2005,SH_ALC_CONSPT,LITRES,Y_GE15,M,
2010,SH_ALC_CONSPT,LITRES,Y_GE15,M,
2015,SH_ALC_CONSPT,LITRES,Y_GE15,M,
2019,SH_ALC_CONSPT,LITRES,Y_GE15,M,
