Year,SERIES,UNIT_MEASURE,SEX,AGE,Value
2006,SL_TLF_UEM,PT,_T,Y_GE15,31.11
2007,SL_TLF_UEM,PT,_T,Y_GE15,28.98
2008,SL_TLF_UEM,PT,_T,Y_GE15,23.41
2009,SL_TLF_UEM,PT,_T,Y_GE15,24.07
2010,SL_TLF_UEM,PT,_T,Y_GE15,27.31
2011,SL_TLF_UEM,PT,_T,Y_GE15,27.58
2012,SL_TLF_UEM,PT,_T,Y_GE15,28.01
2013,SL_TLF_UEM,PT,_T,Y_GE15,27.49
2014,SL_TLF_UEM,PT,_T,Y_GE15,27.52
2015,SL_TLF_UEM,PT,_T,Y_GE15,27.69
2016,SL_TLF_UEM,PT,_T,Y_GE15,25.41
2017,SL_TLF_UEM,PT,_T,Y_GE15,20.53
2018,SL_TLF_UEM,PT,_T,Y_GE15,18.4
2019,SL_TLF_UEM,PT,_T,Y_GE15,15.69
2020,SL_TLF_UEM,PT,_T,Y_GE15,15.9
2021,SL_TLF_UEM,PT,_T,Y_GE15,14.9
2006,SL_TLF_UEM,PT,F,Y_GE15,34.86
2007,SL_TLF_UEM,PT,F,Y_GE15,32.94
2008,SL_TLF_UEM,PT,F,Y_GE15,26.78
2009,SL_TLF_UEM,PT,F,Y_GE15,25.64
2010,SL_TLF_UEM,PT,F,Y_GE15,29.93
2011,SL_TLF_UEM,PT,F,Y_GE15,29.94
2012,SL_TLF_UEM,PT,F,Y_GE15,30.66
2013,SL_TLF_UEM,PT,F,Y_GE15,29.02
2014,SL_TLF_UEM,PT,F,Y_GE15,31.17
2015,SL_TLF_UEM,PT,F,Y_GE15,30.69
2016,SL_TLF_UEM,PT,F,Y_GE15,30.05
2017,SL_TLF_UEM,PT,F,Y_GE15,23.13
2018,SL_TLF_UEM,PT,F,Y_GE15,20.33
2019,SL_TLF_UEM,PT,F,Y_GE15,18.78
2020,SL_TLF_UEM,PT,F,Y_GE15,18.5
2021,SL_TLF_UEM,PT,F,Y_GE15,18.12
2006,SL_TLF_UEM,PT,M,Y_GE15,28.92
2007,SL_TLF_UEM,PT,M,Y_GE15,26.71
2008,SL_TLF_UEM,PT,M,Y_GE15,21.4
2009,SL_TLF_UEM,PT,M,Y_GE15,23.11
2010,SL_TLF_UEM,PT,M,Y_GE15,25.68
2011,SL_TLF_UEM,PT,M,Y_GE15,26.11
2012,SL_TLF_UEM,PT,M,Y_GE15,26.37
2013,SL_TLF_UEM,PT,M,Y_GE15,26.55
2014,SL_TLF_UEM,PT,M,Y_GE15,25.18
2015,SL_TLF_UEM,PT,M,Y_GE15,25.78
2016,SL_TLF_UEM,PT,M,Y_GE15,22.53
2017,SL_TLF_UEM,PT,M,Y_GE15,18.87
2018,SL_TLF_UEM,PT,M,Y_GE15,17.21
2019,SL_TLF_UEM,PT,M,Y_GE15,13.65
2020,SL_TLF_UEM,PT,M,Y_GE15,14.1
2021,SL_TLF_UEM,PT,M,Y_GE15,12.66
2006,SL_TLF_UEM,PT,_T,Y15T24,62.31
2007,SL_TLF_UEM,PT,_T,Y15T24,58.42
2008,SL_TLF_UEM,PT,_T,Y15T24,47.53
2009,SL_TLF_UEM,PT,_T,Y15T24,48.7
2010,SL_TLF_UEM,PT,_T,Y15T24,57.72
2011,SL_TLF_UEM,PT,_T,Y15T24,57.87
2012,SL_TLF_UEM,PT,_T,Y15T24,63.11
2013,SL_TLF_UEM,PT,_T,Y15T24,59.12
2014,SL_TLF_UEM,PT,_T,Y15T24,62.66
2015,SL_TLF_UEM,PT,_T,Y15T24,62.32
2016,SL_TLF_UEM,PT,_T,Y15T24,54.31
2017,SL_TLF_UEM,PT,_T,Y15T24,45.81
2018,SL_TLF_UEM,PT,_T,Y15T24,38.82
2019,SL_TLF_UEM,PT,_T,Y15T24,33.79
2020,SL_TLF_UEM,PT,_T,Y15T24,36.6
2021,SL_TLF_UEM,PT,_T,Y15T24,35.07
2006,SL_TLF_UEM,PT,F,Y15T24,65.72
2007,SL_TLF_UEM,PT,F,Y15T24,63.12
2008,SL_TLF_UEM,PT,F,Y15T24,52.3
2009,SL_TLF_UEM,PT,F,Y15T24,52.72
2010,SL_TLF_UEM,PT,F,Y15T24,61.28
2011,SL_TLF_UEM,PT,F,Y15T24,60.46
2012,SL_TLF_UEM,PT,F,Y15T24,63.97
2013,SL_TLF_UEM,PT,F,Y15T24,59.2
2014,SL_TLF_UEM,PT,F,Y15T24,65.41
2015,SL_TLF_UEM,PT,F,Y15T24,67.34
2016,SL_TLF_UEM,PT,F,Y15T24,58.91
2017,SL_TLF_UEM,PT,F,Y15T24,51.36
2018,SL_TLF_UEM,PT,F,Y15T24,45.46
2019,SL_TLF_UEM,PT,F,Y15T24,37.94
2020,SL_TLF_UEM,PT,F,Y15T24,42.8
2021,SL_TLF_UEM,PT,F,Y15T24,40.68
2006,SL_TLF_UEM,PT,M,Y15T24,60.19
2007,SL_TLF_UEM,PT,M,Y15T24,55.6
2008,SL_TLF_UEM,PT,M,Y15T24,44.79
2009,SL_TLF_UEM,PT,M,Y15T24,46.44
2010,SL_TLF_UEM,PT,M,Y15T24,55.48
2011,SL_TLF_UEM,PT,M,Y15T24,56.44
2012,SL_TLF_UEM,PT,M,Y15T24,62.64
2013,SL_TLF_UEM,PT,M,Y15T24,59.08
2014,SL_TLF_UEM,PT,M,Y15T24,60.98
2015,SL_TLF_UEM,PT,M,Y15T24,59.52
2016,SL_TLF_UEM,PT,M,Y15T24,52.05
2017,SL_TLF_UEM,PT,M,Y15T24,43.11
2018,SL_TLF_UEM,PT,M,Y15T24,35.45
2019,SL_TLF_UEM,PT,M,Y15T24,31.27
2020,SL_TLF_UEM,PT,M,Y15T24,32.5
2021,SL_TLF_UEM,PT,M,Y15T24,31.69
2006,SL_TLF_UEM,PT,_T,Y_GE25,26.02
2007,SL_TLF_UEM,PT,_T,Y_GE25,24.37
2008,SL_TLF_UEM,PT,_T,Y_GE25,19.88
2009,SL_TLF_UEM,PT,_T,Y_GE25,20.56
2010,SL_TLF_UEM,PT,_T,Y_GE25,23.17
2011,SL_TLF_UEM,PT,_T,Y_GE25,23.75
2012,SL_TLF_UEM,PT,_T,Y_GE25,23.82
2013,SL_TLF_UEM,PT,_T,Y_GE25,23.77
2014,SL_TLF_UEM,PT,_T,Y_GE25,23.47
2015,SL_TLF_UEM,PT,_T,Y_GE25,23.33
2016,SL_TLF_UEM,PT,_T,Y_GE25,22.04
2017,SL_TLF_UEM,PT,_T,Y_GE25,17.49
2018,SL_TLF_UEM,PT,_T,Y_GE25,15.9
2019,SL_TLF_UEM,PT,_T,Y_GE25,13.52
2020,SL_TLF_UEM,PT,_T,Y_GE25,13.6
2021,SL_TLF_UEM,PT,_T,Y_GE25,12.93
2006,SL_TLF_UEM,PT,F,Y_GE25,29.59
2007,SL_TLF_UEM,PT,F,Y_GE25,28.06
2008,SL_TLF_UEM,PT,F,Y_GE25,23.15
2009,SL_TLF_UEM,PT,F,Y_GE25,22.0
2010,SL_TLF_UEM,PT,F,Y_GE25,25.64
2011,SL_TLF_UEM,PT,F,Y_GE25,26.38
2012,SL_TLF_UEM,PT,F,Y_GE25,27.01
2013,SL_TLF_UEM,PT,F,Y_GE25,26.03
2014,SL_TLF_UEM,PT,F,Y_GE25,27.36
2015,SL_TLF_UEM,PT,F,Y_GE25,26.5
2016,SL_TLF_UEM,PT,F,Y_GE25,27.2
2017,SL_TLF_UEM,PT,F,Y_GE25,20.34
2018,SL_TLF_UEM,PT,F,Y_GE25,17.66
2019,SL_TLF_UEM,PT,F,Y_GE25,16.61
2020,SL_TLF_UEM,PT,F,Y_GE25,15.8
2021,SL_TLF_UEM,PT,F,Y_GE25,16.11
2006,SL_TLF_UEM,PT,M,Y_GE25,23.96
2007,SL_TLF_UEM,PT,M,Y_GE25,22.28
2008,SL_TLF_UEM,PT,M,Y_GE25,17.92
2009,SL_TLF_UEM,PT,M,Y_GE25,19.68
2010,SL_TLF_UEM,PT,M,Y_GE25,21.64
2011,SL_TLF_UEM,PT,M,Y_GE25,22.09
2012,SL_TLF_UEM,PT,M,Y_GE25,21.82
2013,SL_TLF_UEM,PT,M,Y_GE25,22.35
2014,SL_TLF_UEM,PT,M,Y_GE25,20.96
2015,SL_TLF_UEM,PT,M,Y_GE25,21.28
2016,SL_TLF_UEM,PT,M,Y_GE25,18.76
2017,SL_TLF_UEM,PT,M,Y_GE25,15.62
2018,SL_TLF_UEM,PT,M,Y_GE25,14.78
2019,SL_TLF_UEM,PT,M,Y_GE25,11.46
2020,SL_TLF_UEM,PT,M,Y_GE25,12.1
2021,SL_TLF_UEM,PT,M,Y_GE25,10.7
2021,SL_TLF_UEM_19ICLS,PT,_T,Y_GE15,17.39
2021,SL_TLF_UEM_19ICLS,PT,F,Y_GE15,22.0
2021,SL_TLF_UEM_19ICLS,PT,M,Y_GE15,14.4
2021,SL_TLF_UEM_19ICLS,PT,_T,Y15T24,38.26
2021,SL_TLF_UEM_19ICLS,PT,F,Y15T24,44.49
2021,SL_TLF_UEM_19ICLS,PT,M,Y15T24,34.53
2021,SL_TLF_UEM_19ICLS,PT,_T,Y_GE25,38.26
