Year,SERIES,UNIT_MEASURE,SEX,Value
2009,SI_COV_PENSN,PT,_T,29.6
2020,SI_COV_PENSN,PT,_T,69.5
2020,SI_COV_PENSN,PT,F,41.3
2020,SI_COV_PENSN,PT,_M,100.0
2001,SI_COV_UEMP,PT,_T,1.2
2005,SI_COV_UEMP,PT,_T,1.6
2007,SI_COV_UEMP,PT,_T,1.6
2009,SI_COV_UEMP,PT,_T,2.4
2010,SI_COV_UEMP,PT,_T,2.6
2011,SI_COV_UEMP,PT,_T,2.0
2020,SI_COV_UEMP,PT,_T,5.3
2007,SI_COV_LMKT,PT,,2.03118
2007,SI_COV_SOCAST,PT,,20.50947
2015,SI_COV_SOCAST,PT,,17.4175
2007,SI_COV_SOCINS,PT,,41.52379
2015,SI_COV_SOCINS,PT,,40.16296
2020,SI_COV_DISAB,PT,_T,100.0
2020,SI_COV_DISAB,PT,F,100.0
2020,SI_COV_DISAB,PT,M,100.0
2020,SI_COV_BENFTS,PT,_T,40.0
