Year,SERIES,SEX,UNIT_MEASUR,Value
2023,VC_VAW_MTUHRAN,BOTHSEX,NUMBER,0
2024,VC_VAW_MTUHRAN,BOTHSEX,NUMBER,0
2023,VC_VOC_ENFDISN,BOTHSEX,NUMBER,0
2024,VC_VOC_ENFDISN,BOTHSEX,NUMBER,0
