Year,SERIES,UNIT_MEASURE,SEX,Value
2019,IT_MOB_OWN,PT,BOTHSEX,77.2
2020,IT_MOB_OWN,PT,BOTHSEX,82.4
2021,IT_MOB_OWN,PT,BOTHSEX,84.2
2022,IT_MOB_OWN,PT,BOTHSEX,85.7
2023,IT_MOB_OWN,PT,BOTHSEX,87.9
