Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,29.6
2001,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,27.4
2002,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,25.9
2003,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,24.3
2004,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,23.1
2005,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,22.3
2006,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,21.6
2007,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,21.0
2008,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,19.9
2009,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,18.7
2010,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,17.6
2011,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,16.5
2012,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,15.3
2013,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,14.5
2014,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,13.8
2015,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,13.1
2016,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,12.6
2017,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,12.2
2018,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,11.9
2019,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,11.7
2020,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,11.4
2021,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,11.1
2022,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,10.8
2023,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,10.4
2024,SH_STA_STNTN,NUM_TH,<5Y,BOTHSEX,10.0
2000,SH_STA_STNTN,NUM_TH,<5Y,F,13.4
2001,SH_STA_STNTN,NUM_TH,<5Y,F,12.4
2002,SH_STA_STNTN,NUM_TH,<5Y,F,11.7
2003,SH_STA_STNTN,NUM_TH,<5Y,F,11.0
2004,SH_STA_STNTN,NUM_TH,<5Y,F,10.5
2005,SH_STA_STNTN,NUM_TH,<5Y,F,10.1
2006,SH_STA_STNTN,NUM_TH,<5Y,F,9.8
2007,SH_STA_STNTN,NUM_TH,<5Y,F,9.5
2008,SH_STA_STNTN,NUM_TH,<5Y,F,9.0
2009,SH_STA_STNTN,NUM_TH,<5Y,F,8.5
2010,SH_STA_STNTN,NUM_TH,<5Y,F,8.0
2011,SH_STA_STNTN,NUM_TH,<5Y,F,7.5
2012,SH_STA_STNTN,NUM_TH,<5Y,F,6.9
