Year,SERIES,UNIT_MEASURE,URBANISATION,Value
2002,SH_SAN_DEFECT,PT,U,0.3034
2003,SH_SAN_DEFECT,PT,U,0.2687
2004,SH_SAN_DEFECT,PT,U,0.2339
2005,SH_SAN_DEFECT,PT,U,0.1991
2006,SH_SAN_DEFECT,PT,U,0.1644
2007,SH_SAN_DEFECT,PT,U,0.1296
2008,SH_SAN_DEFECT,PT,U,0.0949
2009,SH_SAN_DEFECT,PT,U,0.0601
2010,SH_SAN_DEFECT,PT,U,0.0253
2011,SH_SAN_DEFECT,PT,U,0.0
2012,SH_SAN_DEFECT,PT,U,0.0
2013,SH_SAN_DEFECT,PT,U,0.0
2014,SH_SAN_DEFECT,PT,U,0.0
2015,SH_SAN_DEFECT,PT,U,0.0
2016,SH_SAN_DEFECT,PT,U,0.0
2017,SH_SAN_DEFECT,PT,U,0.0
2018,SH_SAN_DEFECT,PT,U,0.0
2019,SH_SAN_DEFECT,PT,U,0.0
2020,SH_SAN_DEFECT,PT,U,0.0
2021,SH_SAN_DEFECT,PT,U,0.0
2022,SH_SAN_DEFECT,PT,U,0.0
2023,SH_SAN_DEFECT,PT,U,0.0
2024,SH_SAN_DEFECT,PT,U,0.0
2000,SH_SAN_SAFE,PT,_T,26.07
2001,SH_SAN_SAFE,PT,_T,26.14
2002,SH_SAN_SAFE,PT,_T,26.2
2003,SH_SAN_SAFE,PT,_T,26.27
2004,SH_SAN_SAFE,PT,_T,26.32
2005,SH_SAN_SAFE,PT,_T,26.37
2006,SH_SAN_SAFE,PT,_T,26.42
2007,SH_SAN_SAFE,PT,_T,26.47
2008,SH_SAN_SAFE,PT,_T,26.51
2009,SH_SAN_SAFE,PT,_T,27.68
2010,SH_SAN_SAFE,PT,_T,30.6
2011,SH_SAN_SAFE,PT,_T,33.56
2012,SH_SAN_SAFE,PT,_T,36.57
2013,SH_SAN_SAFE,PT,_T,39.64
2014,SH_SAN_SAFE,PT,_T,42.77
2015,SH_SAN_SAFE,PT,_T,46.05
2016,SH_SAN_SAFE,PT,_T,49.45
2017,SH_SAN_SAFE,PT,_T,52.98
2018,SH_SAN_SAFE,PT,_T,56.63
2000,SH_SAN_SAFE,PT,U,6.45
2001,SH_SAN_SAFE,PT,U,6.25
2002,SH_SAN_SAFE,PT,U,6.07
2003,SH_SAN_SAFE,PT,U,5.87
2004,SH_SAN_SAFE,PT,U,5.68
2005,SH_SAN_SAFE,PT,U,5.49
2006,SH_SAN_SAFE,PT,U,5.29
2007,SH_SAN_SAFE,PT,U,5.1
2008,SH_SAN_SAFE,PT,U,4.91
2009,SH_SAN_SAFE,PT,U,6.17
2010,SH_SAN_SAFE,PT,U,9.75
2011,SH_SAN_SAFE,PT,U,13.49
2012,SH_SAN_SAFE,PT,U,17.4
2013,SH_SAN_SAFE,PT,U,21.57
2014,SH_SAN_SAFE,PT,U,25.97
2015,SH_SAN_SAFE,PT,U,30.59
2016,SH_SAN_SAFE,PT,U,35.38
2017,SH_SAN_SAFE,PT,U,40.34
2018,SH_SAN_SAFE,PT,U,45.46
2019,SH_SAN_SAFE,PT,U,50.75
2020,SH_SAN_SAFE,PT,U,56.21
2021,SH_SAN_SAFE,PT,U,58.1
2022,SH_SAN_SAFE,PT,U,58.1
2023,SH_SAN_SAFE,PT,U,58.1
2024,SH_SAN_SAFE,PT,U,58.1
2008,SH_SAN_HNDWSH,PT,_T,97.1948
2009,SH_SAN_HNDWSH,PT,_T,97.203
2010,SH_SAN_HNDWSH,PT,_T,97.2111
2011,SH_SAN_HNDWSH,PT,_T,97.2193
2012,SH_SAN_HNDWSH,PT,_T,97.2274
2013,SH_SAN_HNDWSH,PT,_T,97.2356
2014,SH_SAN_HNDWSH,PT,_T,97.2438
2015,SH_SAN_HNDWSH,PT,_T,97.2523
2016,SH_SAN_HNDWSH,PT,_T,97.2611
2008,SH_SAN_HNDWSH,PT,R,96.0497
2009,SH_SAN_HNDWSH,PT,R,96.0497
2010,SH_SAN_HNDWSH,PT,R,96.0497
2011,SH_SAN_HNDWSH,PT,R,96.0497
2012,SH_SAN_HNDWSH,PT,R,96.0497
2013,SH_SAN_HNDWSH,PT,R,96.0497
2014,SH_SAN_HNDWSH,PT,R,96.0497
2015,SH_SAN_HNDWSH,PT,R,96.0497
2016,SH_SAN_HNDWSH,PT,R,96.0497
2008,SH_SAN_HNDWSH,PT,U,98.5989
2009,SH_SAN_HNDWSH,PT,U,98.5989
2010,SH_SAN_HNDWSH,PT,U,98.5989
2011,SH_SAN_HNDWSH,PT,U,98.5989
2012,SH_SAN_HNDWSH,PT,U,98.5989
2013,SH_SAN_HNDWSH,PT,U,98.5989
2014,SH_SAN_HNDWSH,PT,U,98.5989
2015,SH_SAN_HNDWSH,PT,U,98.5989
2016,SH_SAN_HNDWSH,PT,U,98.5989
