Year,SERIES,UNIT_MEASURE,SEX,Value
2010,SE_PRE_PARTN,PT,BOTHSEX,12.29534
2011,SE_PRE_PARTN,PT,BOTHSEX,13.09235
2012,SE_PRE_PARTN,PT,BOTHSEX,13.80968
2016,SE_PRE_PARTN,PT,BOTHSEX,19.94846
2017,SE_PRE_PARTN,PT,BOTHSEX,22.85772
2018,SE_PRE_PARTN,PT,BOTHSEX,23.66203
2019,SE_PRE_PARTN,PT,BOTHSEX,31.28761
2021,SE_PRE_PARTN,PT,BOTHSEX,31.5854
2022,SE_PRE_PARTN,PT,BOTHSEX,35.27776
2023,SE_PRE_PARTN,PT,BOTHSEX,37.495
2010,SE_PRE_PARTN,PT,F,12.22313
2011,SE_PRE_PARTN,PT,F,12.78877
2012,SE_PRE_PARTN,PT,F,13.69255
2016,SE_PRE_PARTN,PT,F,19.74354
2017,SE_PRE_PARTN,PT,F,22.57974
2018,SE_PRE_PARTN,PT,F,23.95424
2019,SE_PRE_PARTN,PT,F,31.07453
2021,SE_PRE_PARTN,PT,F,31.89391
2022,SE_PRE_PARTN,PT,F,34.81689
2023,SE_PRE_PARTN,PT,F,37.48305
2010,SE_PRE_PARTN,PT,M,12.36276
2011,SE_PRE_PARTN,PT,M,13.37597
2012,SE_PRE_PARTN,PT,M,13.91888
2016,SE_PRE_PARTN,PT,M,20.13901
2017,SE_PRE_PARTN,PT,M,23.11639
2018,SE_PRE_PARTN,PT,M,23.38979
2019,SE_PRE_PARTN,PT,M,31.48628
2021,SE_PRE_PARTN,PT,M,31.2975
2022,SE_PRE_PARTN,PT,M,35.70772
2023,SE_PRE_PARTN,PT,M,37.50615
