Year,SERIES,UNIT_MEASURE,SEX,Value
2000,IT_USE_II99,PT,BOTHSEX,1.08
2001,IT_USE_II99,PT,BOTHSEX,1.2
2002,IT_USE_II99,PT,BOTHSEX,2.65
2003,IT_USE_II99,PT,BOTHSEX,3.97
2004,IT_USE_II99,PT,BOTHSEX,15.47
2005,IT_USE_II99,PT,BOTHSEX,21.33
2006,IT_USE_II99,PT,BOTHSEX,25.12
2007,IT_USE_II99,PT,BOTHSEX,27.92
2008,IT_USE_II99,PT,BOTHSEX,34.66
2009,IT_USE_II99,PT,BOTHSEX,37.74
2010,IT_USE_II99,PT,BOTHSEX,42.75
2011,IT_USE_II99,PT,BOTHSEX,43.89
2012,IT_USE_II99,PT,BOTHSEX,45.06
2013,IT_USE_II99,PT,BOTHSEX,48.52
2014,IT_USE_II99,PT,BOTHSEX,49.92
2015,IT_USE_II99,PT,BOTHSEX,52.6
2016,IT_USE_II99,PT,BOTHSEX,60.26
2016,IT_USE_II99,PT,F,57.31
2016,IT_USE_II99,PT,M,63.59
2017,IT_USE_II99,PT,BOTHSEX,64.89
2017,IT_USE_II99,PT,F,62.49
2017,IT_USE_II99,PT,M,67.58
2018,IT_USE_II99,PT,BOTHSEX,70.12
2018,IT_USE_II99,PT,F,68.34
2018,IT_USE_II99,PT,M,72.4
2019,IT_USE_II99,PT,BOTHSEX,69.95
2019,IT_USE_II99,PT,F,67.45
2019,IT_USE_II99,PT,M,72.82
2020,IT_USE_II99,PT,BOTHSEX,73.21
2020,IT_USE_II99,PT,F,69.31
2020,IT_USE_II99,PT,M,77.82
2021,IT_USE_II99,PT,BOTHSEX,75.68
2021,IT_USE_II99,PT,F,72.66
2021,IT_USE_II99,PT,M,79.18
2022,IT_USE_II99,PT,BOTHSEX,78.85
2022,IT_USE_II99,PT,F,76.97
2022,IT_USE_II99,PT,M,80.8
