Year,SERIES,UNIT_MEASURE,AGE,SEX,Value
2000,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,42.1
2001,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,44.5
2002,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,45.2
2003,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,45.1
2004,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,44.8
2005,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,44.5
2006,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,43.8
2007,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,42.3
2008,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,40.2
2009,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,37.9
2010,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,35.5
2011,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,32.9
2012,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,30.3
2013,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,27.8
2014,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,25.5
2015,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,23.2
2016,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,21.4
2017,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,20.0
2018,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,18.8
2019,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,17.9
2020,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,17.2
2021,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,16.7
2022,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,16.4
2023,SN_STA_OVWGTN,NUM_TH,<5Y,BOTHSEX,16.3
2000,SN_STA_OVWGTN,NUM_TH,<5Y,F,19.2
2001,SN_STA_OVWGTN,NUM_TH,<5Y,F,20.2
