Year,SERIES,UNIT_MEASURE,SEX,Type_of_skill,AGE,URBANISATION,Value
2018,SE_ADT_ACTS,PT,F,INTBNK,_T,R,3.8
2019,SE_ADT_ACTS,PT,F,INTBNK,_T,R,4.8
2020,SE_ADT_ACTS,PT,F,INTBNK,_T,R,10.0
2021,SE_ADT_ACTS,PT,F,INTBNK,_T,R,15.0
2023,SE_ADT_ACTS,PT,F,INTBNK,_T,R,15.2
2017,SE_ADT_ACTS,PT,M,INTBNK,_T,R,1.9
2018,SE_ADT_ACTS,PT,M,INTBNK,_T,R,5.6
2019,SE_ADT_ACTS,PT,M,INTBNK,_T,R,7.8
2020,SE_ADT_ACTS,PT,M,INTBNK,_T,R,16.2
2021,SE_ADT_ACTS,PT,M,INTBNK,_T,R,15.2
2023,SE_ADT_ACTS,PT,M,INTBNK,_T,R,20.1
2017,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,4.8
2018,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,9.5
2019,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,9.7
2020,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,21.4
2021,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,19.2
2023,SE_ADT_ACTS,PT,_T,INTBNK,_T,U,32.0
2017,SE_ADT_ACTS,PT,F,INTBNK,_T,U,4.2
2018,SE_ADT_ACTS,PT,F,INTBNK,_T,U,8.0
2019,SE_ADT_ACTS,PT,F,INTBNK,_T,U,7.9
2020,SE_ADT_ACTS,PT,F,INTBNK,_T,U,18.7
2021,SE_ADT_ACTS,PT,F,INTBNK,_T,U,18.7
2023,SE_ADT_ACTS,PT,F,INTBNK,_T,U,29.4
2017,SE_ADT_ACTS,PT,M,INTBNK,_T,U,5.4
2018,SE_ADT_ACTS,PT,M,INTBNK,_T,U,11.2
2019,SE_ADT_ACTS,PT,M,INTBNK,_T,U,11.8
2020,SE_ADT_ACTS,PT,M,INTBNK,_T,U,24.2
2021,SE_ADT_ACTS,PT,M,INTBNK,_T,U,19.7
2023,SE_ADT_ACTS,PT,M,INTBNK,_T,U,34.5
2017,SE_ADT_ACTS,PT,_T,ONLCNS,_T,ALLAREA,2.1
2019,SE_ADT_ACTS,PT,_T,ONLCNS,_T,ALLAREA,5.4
2021,SE_ADT_ACTS,PT,_T,ONLCNS,_T,ALLAREA,4.2
2022,SE_ADT_ACTS,PT,_T,ONLCNS,_T,ALLAREA,5.6
2023,SE_ADT_ACTS,PT,_T,ONLCNS,_T,ALLAREA,5.2
2017,SE_ADT_ACTS,PT,F,ONLCNS,_T,ALLAREA,1.4
2019,SE_ADT_ACTS,PT,F,ONLCNS,_T,ALLAREA,4.2
2021,SE_ADT_ACTS,PT,F,ONLCNS,_T,ALLAREA,4.3
2023,SE_ADT_ACTS,PT,F,ONLCNS,_T,ALLAREA,4.5
2017,SE_ADT_ACTS,PT,M,ONLCNS,_T,ALLAREA,2.8
2019,SE_ADT_ACTS,PT,M,ONLCNS,_T,ALLAREA,6.6
2021,SE_ADT_ACTS,PT,M,ONLCNS,_T,ALLAREA,4.1
2023,SE_ADT_ACTS,PT,M,ONLCNS,_T,ALLAREA,5.9
2017,SE_ADT_ACTS,PT,_T,ONLCNS,_T,R,1.2
2019,SE_ADT_ACTS,PT,_T,ONLCNS,_T,R,4.3
2021,SE_ADT_ACTS,PT,_T,ONLCNS,_T,R,4.4
2023,SE_ADT_ACTS,PT,_T,ONLCNS,_T,R,4.4
2017,SE_ADT_ACTS,PT,F,ONLCNS,_T,R,0.3
2019,SE_ADT_ACTS,PT,F,ONLCNS,_T,R,3.3
2021,SE_ADT_ACTS,PT,F,ONLCNS,_T,R,4.8
2023,SE_ADT_ACTS,PT,F,ONLCNS,_T,R,2.7
2017,SE_ADT_ACTS,PT,M,ONLCNS,_T,R,2.2
2019,SE_ADT_ACTS,PT,M,ONLCNS,_T,R,5.2
2021,SE_ADT_ACTS,PT,M,ONLCNS,_T,R,4.0
2023,SE_ADT_ACTS,PT,M,ONLCNS,_T,R,5.9
2017,SE_ADT_ACTS,PT,_T,ONLCNS,_T,U,3.0
2019,SE_ADT_ACTS,PT,_T,ONLCNS,_T,U,6.8
2021,SE_ADT_ACTS,PT,_T,ONLCNS,_T,U,3.9
2023,SE_ADT_ACTS,PT,_T,ONLCNS,_T,U,6.4
2017,SE_ADT_ACTS,PT,F,ONLCNS,_T,U,2.6
2019,SE_ADT_ACTS,PT,F,ONLCNS,_T,U,5.3
2021,SE_ADT_ACTS,PT,F,ONLCNS,_T,U,3.7
2023,SE_ADT_ACTS,PT,F,ONLCNS,_T,U,6.8
2017,SE_ADT_ACTS,PT,M,ONLCNS,_T,U,3.6
2019,SE_ADT_ACTS,PT,M,ONLCNS,_T,U,8.6
2021,SE_ADT_ACTS,PT,M,ONLCNS,_T,U,4.1
2023,SE_ADT_ACTS,PT,M,ONLCNS,_T,U,6.0
2017,SE_ADT_ACTS,PT,_T,PCPR,_T,ALLAREA,2.1
2019,SE_ADT_ACTS,PT,_T,PCPR,_T,ALLAREA,2.1
2021,SE_ADT_ACTS,PT,_T,PCPR,_T,ALLAREA,2.1
2017,SE_ADT_ACTS,PT,F,PCPR,_T,ALLAREA,1.0
2019,SE_ADT_ACTS,PT,F,PCPR,_T,ALLAREA,1.0
2017,SE_ADT_ACTS,PT,M,PCPR,_T,ALLAREA,3.3
2019,SE_ADT_ACTS,PT,M,PCPR,_T,ALLAREA,3.5
2017,SE_ADT_ACTS,PT,_T,PCPR,_T,R,1.8
2019,SE_ADT_ACTS,PT,_T,PCPR,_T,R,1.8
2017,SE_ADT_ACTS,PT,F,PCPR,_T,R,0.9
2019,SE_ADT_ACTS,PT,F,PCPR,_T,R,0.8
2017,SE_ADT_ACTS,PT,M,PCPR,_T,R,2.8
2019,SE_ADT_ACTS,PT,M,PCPR,_T,R,2.9
2017,SE_ADT_ACTS,PT,_T,PCPR,_T,U,2.5
2019,SE_ADT_ACTS,PT,_T,PCPR,_T,U,2.6
2017,SE_ADT_ACTS,PT,F,PCPR,_T,U,1.2
2019,SE_ADT_ACTS,PT,F,PCPR,_T,U,1.3
2017,SE_ADT_ACTS,PT,M,PCPR,_T,U,3.9
2019,SE_ADT_ACTS,PT,M,PCPR,_T,U,4.3
2021,SE_ADT_ACTS,PT,_T,PRVCY,_T,ALLAREA,6.7
2023,SE_ADT_ACTS,PT,_T,PRVCY,_T,ALLAREA,8.4
2021,SE_ADT_ACTS,PT,F,PRVCY,_T,ALLAREA,5.5
2023,SE_ADT_ACTS,PT,F,PRVCY,_T,ALLAREA,6.5
2021,SE_ADT_ACTS,PT,M,PRVCY,_T,ALLAREA,8.1
2023,SE_ADT_ACTS,PT,M,PRVCY,_T,ALLAREA,10.2
2021,SE_ADT_ACTS,PT,_T,PRVCY,_T,R,5.1
2023,SE_ADT_ACTS,PT,_T,PRVCY,_T,R,6.7
2021,SE_ADT_ACTS,PT,F,PRVCY,_T,R,3.1
2023,SE_ADT_ACTS,PT,F,PRVCY,_T,R,5.3
2021,SE_ADT_ACTS,PT,M,PRVCY,_T,R,7.3
2023,SE_ADT_ACTS,PT,M,PRVCY,_T,R,7.9
2021,SE_ADT_ACTS,PT,_T,PRVCY,_T,U,8.9
2023,SE_ADT_ACTS,PT,_T,PRVCY,_T,U,10.8
2021,SE_ADT_ACTS,PT,F,PRVCY,_T,U,8.7
2023,SE_ADT_ACTS,PT,F,PRVCY,_T,U,8.1
2021,SE_ADT_ACTS,PT,M,PRVCY,_T,U,9.1
2023,SE_ADT_ACTS,PT,M,PRVCY,_T,U,13.5
2021,SE_ADT_ACTS,PT,_T,SCRTY,_T,ALLAREA,7.2
2023,SE_ADT_ACTS,PT,_T,SCRTY,_T,ALLAREA,12.0
2021,SE_ADT_ACTS,PT,F,SCRTY,_T,ALLAREA,6.6
2023,SE_ADT_ACTS,PT,F,SCRTY,_T,ALLAREA,9.0
2021,SE_ADT_ACTS,PT,M,SCRTY,_T,ALLAREA,8.0
2023,SE_ADT_ACTS,PT,M,SCRTY,_T,ALLAREA,14.8
2021,SE_ADT_ACTS,PT,_T,SCRTY,_T,R,6.2
2023,SE_ADT_ACTS,PT,_T,SCRTY,_T,R,9.9
2021,SE_ADT_ACTS,PT,F,SCRTY,_T,R,5.0
2023,SE_ADT_ACTS,PT,F,SCRTY,_T,R,7.5
2021,SE_ADT_ACTS,PT,M,SCRTY,_T,R,7.5
2023,SE_ADT_ACTS,PT,M,SCRTY,_T,R,12.0
2021,SE_ADT_ACTS,PT,_T,SCRTY,_T,U,8.6
2023,SE_ADT_ACTS,PT,_T,SCRTY,_T,U,14.9
2021,SE_ADT_ACTS,PT,F,SCRTY,_T,U,8.5
2023,SE_ADT_ACTS,PT,F,SCRTY,_T,U,10.9
2021,SE_ADT_ACTS,PT,M,SCRTY,_T,U,8.7
2023,SE_ADT_ACTS,PT,M,SCRTY,_T,U,18.9
2017,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,72.3
2018,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,65.7
2019,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,65.5
2020,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,68.3
2021,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,65.6
2022,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,70.6
2023,SE_ADT_ACTS,PT,_T,SNTWK,_T,ALLAREA,69.3
2017,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,70.9
2018,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,65.9
2019,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,68.0
2020,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,66.6
2021,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,66.6
2023,SE_ADT_ACTS,PT,F,SNTWK,_T,ALLAREA,69.0
2017,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,73.7
2018,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,65.5
2019,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,62.9
2020,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,70.1
2021,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,65.2
2023,SE_ADT_ACTS,PT,M,SNTWK,_T,ALLAREA,69.5
2017,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,72.2
2018,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,65.5
2019,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,64.4
2020,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,66.8
2021,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,65.9
2023,SE_ADT_ACTS,PT,_T,SNTWK,_T,R,64.9
2017,SE_ADT_ACTS,PT,F,SNTWK,_T,R,70.7
2018,SE_ADT_ACTS,PT,F,SNTWK,_T,R,64.8
2019,SE_ADT_ACTS,PT,F,SNTWK,_T,R,67.1
2020,SE_ADT_ACTS,PT,F,SNTWK,_T,R,65.1
2021,SE_ADT_ACTS,PT,F,SNTWK,_T,R,65.1
2023,SE_ADT_ACTS,PT,F,SNTWK,_T,R,63.2
2017,SE_ADT_ACTS,PT,M,SNTWK,_T,R,73.7
2018,SE_ADT_ACTS,PT,M,SNTWK,_T,R,66.8
2019,SE_ADT_ACTS,PT,M,SNTWK,_T,R,61.7
2020,SE_ADT_ACTS,PT,M,SNTWK,_T,R,68.7
2021,SE_ADT_ACTS,PT,M,SNTWK,_T,R,66.8
2023,SE_ADT_ACTS,PT,M,SNTWK,_T,R,66.5
2017,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,72.4
2018,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,65.7
2019,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,67.0
2020,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,70.2
2021,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,65.3
2023,SE_ADT_ACTS,PT,_T,SNTWK,_T,U,75.0
2017,SE_ADT_ACTS,PT,F,SNTWK,_T,U,71.2
2018,SE_ADT_ACTS,PT,F,SNTWK,_T,U,66.9
2019,SE_ADT_ACTS,PT,F,SNTWK,_T,U,69.1
2020,SE_ADT_ACTS,PT,F,SNTWK,_T,U,68.6
2021,SE_ADT_ACTS,PT,F,SNTWK,_T,U,67.2
2023,SE_ADT_ACTS,PT,F,SNTWK,_T,U,76.5
2017,SE_ADT_ACTS,PT,M,SNTWK,_T,U,73.6
2018,SE_ADT_ACTS,PT,M,SNTWK,_T,U,64.2
2019,SE_ADT_ACTS,PT,M,SNTWK,_T,U,64.5
2020,SE_ADT_ACTS,PT,M,SNTWK,_T,U,71.9
2021,SE_ADT_ACTS,PT,M,SNTWK,_T,U,63.1
2023,SE_ADT_ACTS,PT,M,SNTWK,_T,U,73.6
2017,SE_ADT_ACTS,PT,_T,SOFT,_T,ALLAREA,22.3
2021,SE_ADT_ACTS,PT,_T,SOFT,_T,ALLAREA,31.2
2023,SE_ADT_ACTS,PT,_T,SOFT,_T,ALLAREA,40.0
2017,SE_ADT_ACTS,PT,F,SOFT,_T,ALLAREA,19.9
2021,SE_ADT_ACTS,PT,F,SOFT,_T,ALLAREA,28.5
2023,SE_ADT_ACTS,PT,F,SOFT,_T,ALLAREA,38.9
2017,SE_ADT_ACTS,PT,M,SOFT,_T,ALLAREA,25.0
2021,SE_ADT_ACTS,PT,M,SOFT,_T,ALLAREA,34.4
2023,SE_ADT_ACTS,PT,M,SOFT,_T,ALLAREA,41.0
2017,SE_ADT_ACTS,PT,_T,SOFT,_T,R,18.2
2021,SE_ADT_ACTS,PT,_T,SOFT,_T,R,29.5
2023,SE_ADT_ACTS,PT,_T,SOFT,_T,R,35.6
2017,SE_ADT_ACTS,PT,F,SOFT,_T,R,15.0
2021,SE_ADT_ACTS,PT,F,SOFT,_T,R,25.4
2023,SE_ADT_ACTS,PT,F,SOFT,_T,R,34.5
2017,SE_ADT_ACTS,PT,M,SOFT,_T,R,21.7
2021,SE_ADT_ACTS,PT,M,SOFT,_T,R,34.1
2023,SE_ADT_ACTS,PT,M,SOFT,_T,R,36.5
2017,SE_ADT_ACTS,PT,_T,SOFT,_T,U,27.9
2021,SE_ADT_ACTS,PT,_T,SOFT,_T,U,33.4
2023,SE_ADT_ACTS,PT,_T,SOFT,_T,U,46.0
2017,SE_ADT_ACTS,PT,F,SOFT,_T,U,26.4
2021,SE_ADT_ACTS,PT,F,SOFT,_T,U,32.4
2023,SE_ADT_ACTS,PT,F,SOFT,_T,U,44.4
2017,SE_ADT_ACTS,PT,M,SOFT,_T,U,29.6
2021,SE_ADT_ACTS,PT,M,SOFT,_T,U,34.7
2023,SE_ADT_ACTS,PT,M,SOFT,_T,U,47.6
2017,SE_ADT_ACTS,PT,_T,TRAF,_T,ALLAREA,59.7
2019,SE_ADT_ACTS,PT,_T,TRAF,_T,ALLAREA,49.0
2021,SE_ADT_ACTS,PT,_T,TRAF,_T,ALLAREA,14.9
2023,SE_ADT_ACTS,PT,_T,TRAF,_T,ALLAREA,17.2
2017,SE_ADT_ACTS,PT,F,TRAF,_T,ALLAREA,56.4
2019,SE_ADT_ACTS,PT,F,TRAF,_T,ALLAREA,46.9
2021,SE_ADT_ACTS,PT,F,TRAF,_T,ALLAREA,14.6
2023,SE_ADT_ACTS,PT,F,TRAF,_T,ALLAREA,14.6
2017,SE_ADT_ACTS,PT,M,TRAF,_T,ALLAREA,63.4
2019,SE_ADT_ACTS,PT,M,TRAF,_T,ALLAREA,51.4
2021,SE_ADT_ACTS,PT,M,TRAF,_T,ALLAREA,15.2
2023,SE_ADT_ACTS,PT,M,TRAF,_T,ALLAREA,19.6
2017,SE_ADT_ACTS,PT,_T,TRAF,_T,R,56.9
2019,SE_ADT_ACTS,PT,_T,TRAF,_T,R,46.0
2021,SE_ADT_ACTS,PT,_T,TRAF,_T,R,12.8
2023,SE_ADT_ACTS,PT,_T,TRAF,_T,R,14.4
2017,SE_ADT_ACTS,PT,F,TRAF,_T,R,52.9
2019,SE_ADT_ACTS,PT,F,TRAF,_T,R,45.4
2021,SE_ADT_ACTS,PT,F,TRAF,_T,R,11.9
2023,SE_ADT_ACTS,PT,F,TRAF,_T,R,11.4
2017,SE_ADT_ACTS,PT,M,TRAF,_T,R,61.3
2019,SE_ADT_ACTS,PT,M,TRAF,_T,R,46.7
2021,SE_ADT_ACTS,PT,M,TRAF,_T,R,13.8
2023,SE_ADT_ACTS,PT,M,TRAF,_T,R,17.0
2017,SE_ADT_ACTS,PT,_T,TRAF,_T,U,63.6
2019,SE_ADT_ACTS,PT,_T,TRAF,_T,U,53.1
2021,SE_ADT_ACTS,PT,_T,TRAF,_T,U,17.7
2023,SE_ADT_ACTS,PT,_T,TRAF,_T,U,21.0
2017,SE_ADT_ACTS,PT,F,TRAF,_T,U,61.1
2019,SE_ADT_ACTS,PT,F,TRAF,_T,U,48.8
2021,SE_ADT_ACTS,PT,F,TRAF,_T,U,18.1
2023,SE_ADT_ACTS,PT,F,TRAF,_T,U,18.5
2017,SE_ADT_ACTS,PT,M,TRAF,_T,U,66.5
2019,SE_ADT_ACTS,PT,M,TRAF,_T,U,58.8
2021,SE_ADT_ACTS,PT,M,TRAF,_T,U,17.1
2023,SE_ADT_ACTS,PT,M,TRAF,_T,U,23.4
2017,SE_ADT_ACTS,PT,_T,UPLD,_T,ALLAREA,25.5
2019,SE_ADT_ACTS,PT,_T,UPLD,_T,ALLAREA,12.5
2020,SE_ADT_ACTS,PT,_T,UPLD,_T,ALLAREA,23.4
2017,SE_ADT_ACTS,PT,F,UPLD,_T,ALLAREA,20.5
2019,SE_ADT_ACTS,PT,F,UPLD,_T,ALLAREA,11.7
2020,SE_ADT_ACTS,PT,F,UPLD,_T,ALLAREA,23.3
2017,SE_ADT_ACTS,PT,M,UPLD,_T,ALLAREA,30.7
2019,SE_ADT_ACTS,PT,M,UPLD,_T,ALLAREA,13.2
2020,SE_ADT_ACTS,PT,M,UPLD,_T,ALLAREA,23.4
2017,SE_ADT_ACTS,PT,_T,UPLD,_T,R,25.1
2019,SE_ADT_ACTS,PT,_T,UPLD,_T,R,10.9
2020,SE_ADT_ACTS,PT,_T,UPLD,_T,R,20.5
2017,SE_ADT_ACTS,PT,F,UPLD,_T,R,19.1
2019,SE_ADT_ACTS,PT,F,UPLD,_T,R,10.4
2020,SE_ADT_ACTS,PT,F,UPLD,_T,R,19.9
2017,SE_ADT_ACTS,PT,M,UPLD,_T,R,30.9
2019,SE_ADT_ACTS,PT,M,UPLD,_T,R,11.4
2020,SE_ADT_ACTS,PT,M,UPLD,_T,R,21.1
2017,SE_ADT_ACTS,PT,_T,UPLD,_T,U,25.9
2019,SE_ADT_ACTS,PT,_T,UPLD,_T,U,14.4
2020,SE_ADT_ACTS,PT,_T,UPLD,_T,U,26.9
2017,SE_ADT_ACTS,PT,F,UPLD,_T,U,22.0
2019,SE_ADT_ACTS,PT,F,UPLD,_T,U,13.3
2020,SE_ADT_ACTS,PT,F,UPLD,_T,U,27.7
2017,SE_ADT_ACTS,PT,M,UPLD,_T,U,30.4
2019,SE_ADT_ACTS,PT,M,UPLD,_T,U,15.8
2020,SE_ADT_ACTS,PT,M,UPLD,_T,U,26.2
2017,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,82.3
2018,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,80.3
2019,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,86.1
2020,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,90.6
2021,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,92.6
2022,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,93.6
2023,SE_ADT_ACTS,PT,_T,VOIP,_T,ALLAREA,94.4
2017,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,82.1
2018,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,78.5
2019,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,82.5
2020,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,89.8
2021,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,93.1
2023,SE_ADT_ACTS,PT,F,VOIP,_T,ALLAREA,94.5
2017,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,82.6
2018,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,82.5
2019,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,89.9
2020,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,91.6
2021,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,92.0
2023,SE_ADT_ACTS,PT,M,VOIP,_T,ALLAREA,94.3
2017,SE_ADT_ACTS,PT,_T,VOIP,_T,R,80.7
2018,SE_ADT_ACTS,PT,_T,VOIP,_T,R,79.2
2019,SE_ADT_ACTS,PT,_T,VOIP,_T,R,85.0
2020,SE_ADT_ACTS,PT,_T,VOIP,_T,R,90.3
2021,SE_ADT_ACTS,PT,_T,VOIP,_T,R,93.7
2023,SE_ADT_ACTS,PT,_T,VOIP,_T,R,93.7
2017,SE_ADT_ACTS,PT,F,VOIP,_T,R,79.8
2018,SE_ADT_ACTS,PT,F,VOIP,_T,R,75.6
2019,SE_ADT_ACTS,PT,F,VOIP,_T,R,81.2
2020,SE_ADT_ACTS,PT,F,VOIP,_T,R,88.7
2021,SE_ADT_ACTS,PT,F,VOIP,_T,R,93.6
2023,SE_ADT_ACTS,PT,F,VOIP,_T,R,92.1
2017,SE_ADT_ACTS,PT,M,VOIP,_T,R,81.5
2018,SE_ADT_ACTS,PT,M,VOIP,_T,R,83.7
2019,SE_ADT_ACTS,PT,M,VOIP,_T,R,88.7
2020,SE_ADT_ACTS,PT,M,VOIP,_T,R,91.9
2021,SE_ADT_ACTS,PT,M,VOIP,_T,R,93.8
2023,SE_ADT_ACTS,PT,M,VOIP,_T,R,95.0
2017,SE_ADT_ACTS,PT,_T,VOIP,_T,U,84.2
2018,SE_ADT_ACTS,PT,_T,VOIP,_T,U,81.5
2019,SE_ADT_ACTS,PT,_T,VOIP,_T,U,87.5
2020,SE_ADT_ACTS,PT,_T,VOIP,_T,U,91.1
2021,SE_ADT_ACTS,PT,_T,VOIP,_T,U,91.2
2023,SE_ADT_ACTS,PT,_T,VOIP,_T,U,95.3
2017,SE_ADT_ACTS,PT,F,VOIP,_T,U,84.6
2018,SE_ADT_ACTS,PT,F,VOIP,_T,U,81.6
2019,SE_ADT_ACTS,PT,F,VOIP,_T,U,84.1
2020,SE_ADT_ACTS,PT,F,VOIP,_T,U,91.1
2021,SE_ADT_ACTS,PT,F,VOIP,_T,U,92.5
2023,SE_ADT_ACTS,PT,F,VOIP,_T,U,97.5
2017,SE_ADT_ACTS,PT,M,VOIP,_T,U,83.8
2018,SE_ADT_ACTS,PT,M,VOIP,_T,U,81.3
2019,SE_ADT_ACTS,PT,M,VOIP,_T,U,91.5
2020,SE_ADT_ACTS,PT,M,VOIP,_T,U,91.1
2021,SE_ADT_ACTS,PT,M,VOIP,_T,U,89.8
2023,SE_ADT_ACTS,PT,M,VOIP,_T,U,93.2
