Year,SERIES,UNIT_MEASURE,Value
2003,ER_RSK_LBREDS,PT,25
2004,ER_RSK_LBREDS,PT,25
2005,ER_RSK_LBREDS,PT,25
2006,ER_RSK_LBREDS,PT,25
2007,ER_RSK_LBREDS,PT,25
2008,ER_RSK_LBREDS,PT,25
2009,ER_RSK_LBREDS,PT,25
2010,ER_RSK_LBREDS,PT,25
2011,ER_RSK_LBREDS,PT,25
2012,ER_RSK_LBREDS,PT,25
2000,ER_UNK_LBREDN,NUMBER,0
2001,ER_UNK_LBREDN,NUMBER,1
2002,ER_UNK_LBREDN,NUMBER,1
2003,ER_UNK_LBREDN,NUMBER,0
2004,ER_UNK_LBREDN,NUMBER,0
2005,ER_UNK_LBREDN,NUMBER,0
2006,ER_UNK_LBREDN,NUMBER,15
2007,ER_UNK_LBREDN,NUMBER,15
2008,ER_UNK_LBREDN,NUMBER,15
2009,ER_UNK_LBREDN,NUMBER,15
2010,ER_UNK_LBREDN,NUMBER,15
2011,ER_UNK_LBREDN,NUMBER,15
2012,ER_UNK_LBREDN,NUMBER,15
2013,ER_UNK_LBREDN,NUMBER,19
2014,ER_UNK_LBREDN,NUMBER,19
2015,ER_UNK_LBREDN,NUMBER,19
2016,ER_UNK_LBREDN,NUMBER,19
2017,ER_UNK_LBREDN,NUMBER,19
2018,ER_UNK_LBREDN,NUMBER,19
2019,ER_UNK_LBREDN,NUMBER,19
2020,ER_UNK_LBREDN,NUMBER,19
2021,ER_UNK_LBREDN,NUMBER,19
2022,ER_UNK_LBREDN,NUMBER,19
2000,ER_NOEX_LBREDN,NUMBER,1
2001,ER_NOEX_LBREDN,NUMBER,1
2002,ER_NOEX_LBREDN,NUMBER,1
2003,ER_NOEX_LBREDN,NUMBER,4
2004,ER_NOEX_LBREDN,NUMBER,4
2005,ER_NOEX_LBREDN,NUMBER,4
2006,ER_NOEX_LBREDN,NUMBER,19
2007,ER_NOEX_LBREDN,NUMBER,19
2008,ER_NOEX_LBREDN,NUMBER,19
2009,ER_NOEX_LBREDN,NUMBER,19
2010,ER_NOEX_LBREDN,NUMBER,19
2011,ER_NOEX_LBREDN,NUMBER,19
2012,ER_NOEX_LBREDN,NUMBER,19
2013,ER_NOEX_LBREDN,NUMBER,19
2014,ER_NOEX_LBREDN,NUMBER,19
2015,ER_NOEX_LBREDN,NUMBER,19
2016,ER_NOEX_LBREDN,NUMBER,19
2017,ER_NOEX_LBREDN,NUMBER,19
2018,ER_NOEX_LBREDN,NUMBER,19
2019,ER_NOEX_LBREDN,NUMBER,19
2020,ER_NOEX_LBREDN,NUMBER,19
2021,ER_NOEX_LBREDN,NUMBER,19
2022,ER_NOEX_LBREDN,NUMBER,19
