Year,SERIES,UNIT_MEASURE,SEX,OCCUPATION,Value
2006,SL_EMP_EARN,CUR_NAC,_T,isco08,2.9
2007,SL_EMP_EARN,CUR_NAC,_T,isco08,3.07
2008,SL_EMP_EARN,CUR_NAC,_T,isco08,3.06
2009,SL_EMP_EARN,CUR_NAC,_T,isco08,3.93
2010,SL_EMP_EARN,CUR_NAC,_T,isco08,4.02
2011,SL_EMP_EARN,CUR_NAC,_T,isco08,4.79
2012,SL_EMP_EARN,CUR_NAC,_T,isco08,4.23
2013,SL_EMP_EARN,CUR_NAC,_T,isco08,4.33
2014,SL_EMP_EARN,CUR_NAC,_T,isco08,4.27
2015,SL_EMP_EARN,CUR_NAC,_T,isco08,4.44
2016,SL_EMP_EARN,CUR_NAC,_T,isco08,4.24
2020,SL_EMP_EARN,CUR_NAC,_T,isco08,8.44
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-0,4.98
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-0,5.03
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-0,4.71
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-0,4.63
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-0,5.47
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-0,4.7
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-0,5.28
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-0,8.27
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-1,6.2
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-1,6.85
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-1,6.84
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-1,7.5
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-1,7.32
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-1,8.41
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-1,7.51
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-1,10.89
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-2,6.52
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-2,7.26
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-2,7.04
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-2,6.51
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-2,6.22
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-2,7.05
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-2,5.89
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-2,10.22
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.57
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.84
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.44
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.93
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.58
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.64
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-3,4.44
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-3,8.5
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-4,3.65
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-4,7.73
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-4,4.4
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-4,4.11
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-4,4.74
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-4,4.28
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-4,4.9
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-4,8.11
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-5,2.96
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-5,3.52
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-5,2.96
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-5,3.28
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-5,3.44
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-5,3.36
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-5,3.39
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-5,6.1
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.25
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.21
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.45
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.15
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.67
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-6,3.18
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-6,4.11
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-6,6.93
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-7,3.62
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-7,3.68
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-7,4.08
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-7,3.81
2014,SL_EMP_EARN,CUR_NAC,_T,isco08-7,3.92
2015,SL_EMP_EARN,CUR_NAC,_T,isco08-7,3.75
2016,SL_EMP_EARN,CUR_NAC,_T,isco08-7,4.02
2020,SL_EMP_EARN,CUR_NAC,_T,isco08-7,10.88
2010,SL_EMP_EARN,CUR_NAC,_T,isco08-8,3.65
2011,SL_EMP_EARN,CUR_NAC,_T,isco08-8,3.7
2012,SL_EMP_EARN,CUR_NAC,_T,isco08-8,3.64
2013,SL_EMP_EARN,CUR_NAC,_T,isco08-8,3.58
