Year,SERIES,UNIT_MEASURE,ACTIVITY,Value
2010,NV_IND_TECH,PT,ISIC4_C,13.7
2011,NV_IND_TECH,PT,ISIC4_C,15.58
2012,NV_IND_TECH,PT,ISIC4_C,17.36
2013,NV_IND_TECH,PT,ISIC4_C,16.42
2014,NV_IND_TECH,PT,ISIC4_C,17.48
2015,NV_IND_TECH,PT,ISIC4_C,18.65
2016,NV_IND_TECH,PT,ISIC4_C,18.2
2017,NV_IND_TECH,PT,ISIC4_C,18.61
2018,NV_IND_TECH,PT,ISIC4_C,19.54
2019,NV_IND_TECH,PT,ISIC4_C,18.31
2020,NV_IND_TECH,PT,ISIC4_C,18.67
2021,NV_IND_TECH,PT,ISIC4_C,16.59
2022,NV_IND_TECH,PT,ISIC4_C,19.54
2023,NV_IND_TECH,PT,ISIC4_C,21.54
