Year,SERIES,UNIT_MEASURE,SEX,Value
2006,SE_ADT_EDUCTRN,PT,_T,2.1777810169107
2007,SE_ADT_EDUCTRN,PT,_T,2.15766816184931
2008,SE_ADT_EDUCTRN,PT,_T,2.13075550414031
2009,SE_ADT_EDUCTRN,PT,_T,1.90901995619569
2010,SE_ADT_EDUCTRN,PT,_T,2.11272856926009
2011,SE_ADT_EDUCTRN,PT,_T,2.18183738605587
2012,SE_ADT_EDUCTRN,PT,_T,2.23761247360216
2014,SE_ADT_EDUCTRN,PT,_T,1.74418466019195
2016,SE_ADT_EDUCTRN,PT,_T,8.7
2006,SE_ADT_EDUCTRN,PT,F,2.02557408786449
2007,SE_ADT_EDUCTRN,PT,F,2.03538605697235
2008,SE_ADT_EDUCTRN,PT,F,2.15464335032623
2010,SE_ADT_EDUCTRN,PT,F,2.15464335032623
2011,SE_ADT_EDUCTRN,PT,F,2.13504427950971
2012,SE_ADT_EDUCTRN,PT,F,2.30169416008625
2016,SE_ADT_EDUCTRN,PT,F,8.5
2006,SE_ADT_EDUCTRN,PT,M,2.29240964139863
2007,SE_ADT_EDUCTRN,PT,M,2.28262612897082
2008,SE_ADT_EDUCTRN,PT,M,2.02113648312372
2010,SE_ADT_EDUCTRN,PT,M,2.17342238173644
2011,SE_ADT_EDUCTRN,PT,M,2.15668454559366
2012,SE_ADT_EDUCTRN,PT,M,2.17297010420148
2016,SE_ADT_EDUCTRN,PT,M,8.9
