Indicator
#1-1-1
#1-2-1
#1-4-1
#11-1-1
#11-6-2
#16-6-2
#2-1-2
#3-8-2
#4-1-2
#4-4-1
#4-5-1
#6-1-1
#6-2-1
#6-3-1
#6-b-1
#7-1-1
#7-1-2
#8-10-2
