Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
COMPOST,Composting,Kompostiranje,Компостирање,Kompostiranje,1,1
INCINRT,Incineration,Spaljivanje,Спаљивање,Spaljivanje,2,1
INCINRT_EGY,Incineration to generate energy,Spaljivanje za proizvodnju energije,Спаљивање за производњу енергије,Spaljivanje za proizvodnju energije,2,1
LANDFIL,Landfilling,Odlaganje na deponije,Одлагање на депоније,Odlaganje na deponije,3,1
LANDFILCT,LANDFILCT,LANDFILCT,LANDFILCT,LANDFILCT,1,1
LANDFILCTL,"Landfilling, controlled","Deponija, kontrolisana","Депонија, контролисана","Deponija, kontrolisana",1,1
