Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-3-1,2
#16-1-1,2
#16-2-2,12
#16-3-2,1
#16-5-1,1
#2-1-2,4
#3-2-1,4
#3-3-1,3
#3-4-1,5
#3-4-2,2
#3-5-1,1
#3-5-2,1
#3-6-1,1
#3-9-3,1
#3-a-1,1
#3-c-1,2
#4-1-1,2
#4-1-2,54
#4-2-1,1
#4-2-2,1
#4-3-1,1
#4-4-1,22
#4-5-1,26
#8-10-2,1
#8-3-1,3
#8-5-1,11
#8-5-2,3
#8-6-1,1
