Indicator,Disaggregation combinations using this value
#1-1-1,9
#1-3-1,7
#16-1-1,2
#16-10-1,1
#16-2-2,13
#16-7-1,2
#2-1-2,4
#3-2-1,4
#3-2-2,2
#3-3-1,3
#3-4-1,5
#3-4-2,2
#3-5-1,5
#3-5-2,1
#3-6-1,2
#3-9-3,1
#3-a-1,1
#4-1-1,3
#4-1-2,50
#4-2-1,1
#4-2-2,1
#4-3-1,4
#4-4-1,100
#4-5-1,27
#5-5-1,1
#8-10-2,9
#8-3-1,6
#8-5-1,11
#8-5-2,6
#8-6-1,2
