Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ALL,All food waste sectors,Svi sektori otpada od hrane,Сви сектори отпада од хране,Svi sektori otpada od hrane,2,1
HHS,Households,Domaćinstva,Домаћинства,Kućanstva,2,1
OOHC,Out-of-home consumption,Potrošnja izvan domaćinstva,Потрошња изван домаћинства,Potrošnja izvan kućanstva,2,1
RTL,Retail,Maloprodaja,Малопродаја,Maloprodaja,2,1
