Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
MONTANE,Montane,Planinski,Планински,Planinski,23,1
REMAIN_MOUNT,Remaining mountain area,Preostalo planinsko područje,Преостало планинско подручје,Preostalo planinsko područje,23,1
TOTAL,Total,Ukupno,Укупно,Ukupno,23,1
