Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,No breakdown,Bez podjele,Нема подјеле,Bez podjele,2,1
ABT2ACHIEVE,"National target reflecting ABT2 exists, and progress is on track to achieve it",Nacionalni cilj koji odražava ABT2 postoji i napredak je na putu ka njegovom ostvarenju,Национални циљ који одражава АБТ2 постоји и напредак је на путу да се он оствари,Nacionalni cilj koji odražava ABT2 postoji i napredak je na putu ka njegovom ostvarenju,1,1
LS_COMPDISSE,Regular compilation and dissemination,Redovna kompilacija i diseminacija,Редовна компилација и дисеминација,Redovita kompilacija i diseminacija,1,1
