Indicator
#1-1-1
#1-3-1
#16-1-1
#16-2-2
#16-5-1
#16-7-1
#2-1-2
#2-2-3
#3-1-1
#3-2-1
#3-2-2
#3-3-1
#3-4-1
#3-4-2
#3-5-1
#3-5-2
#3-6-1
#3-7-1
#3-7-2
#3-9-3
#3-a-1
#3-c-1
#4-1-1
#4-1-2
#4-2-1
#4-2-2
#4-3-1
#4-4-1
#4-5-1
#5-2-1
#5-3-1
#5-5-1
#5-5-2
#8-10-2
#8-3-1
#8-5-2
#8-6-1
