Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Any level of government,Bilo koji nivo vlasti,Било који ниво власти,Bilo koji nivo vlasti,5,1
LOCAL,Local Government,Lokalna uprava,Локална управа,Lokalna uprava,1,1
NAT,National Government,Nacionalna vlast,Национална власт,Nacionalna vlast,1,1
REG,Regional Government,Entitetska vlast,Ентитетска власт,Entitetska vlast,1,1
