Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ATS,ATS,ATS,ATS,ATS,3,1
COCAINE,COCAINE,COCAINE,COCAINE,COCAINE,2,1
DRUG_TOTAL,DRUG_TOTAL,DRUG_TOTAL,DRUG_TOTAL,DRUG_TOTAL,3,1
OPIOIDS,OPIOIDS,OPIOIDS,OPIOIDS,OPIOIDS,1,1
