Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,All elevations,Sve visine,Све висине,Sve visine,1,1
EL_4,Elevation 1500–2500 meters and slope > 2,Nadmorska visina 1500–2500 metara i nagib > 2,Надморска висина 1500–2500 метара и нагиб > 2,Nadmorska visina 1500–2500 metara i nagib > 2,1,1
EL_5,Elevation 1000–1500 meters and slope > 5 or local elevation range (LER 7 kilometer radius) > 300 meters,Nadmorska visina 1000–1500 metara i nagib > 5 li lokalni raspon nadmorske visine (polumjer LER 7 kilometara) > 300 metara,Надморска висина 1000–1500 метара и нагиб > 5 ли локални распон надморске висине (полумјер LER 7 километара) > 300 метара,Nadmorska visina 1000–1500 metara i nagib > 5 li lokalni raspon nadmorske visine (polumjer LER 7 kilometara) > 300 metara,1,1
EL_6,Elevation 300–1000 meters and local elevation range (7 kilometer radius) > 300 meters,Nadmorska visina 300–1000 metara i lokalni raspon nadmorske visine (radijus od 7 kilometara)> 300 metara,Надморска висина 300–1000 метара и локални распон надморске висине (радијус од 7 километара)> 300 метара,Nadmorska visina 300–1000 metara i lokalni raspon nadmorske visine (radijus od 7 kilometara)> 300 metara,1,1
