Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
ALLDOMAINS,ALLDOMAINS,ALLDOMAINS,ALLDOMAINS,ALLDOMAINS,1,1
DOMAIN1,DOMAIN1,DOMAIN1,DOMAIN1,DOMAIN1,1,1
DOMAIN2,DOMAIN2,DOMAIN2,DOMAIN2,DOMAIN2,1,1
DOMAIN3,DOMAIN3,DOMAIN3,DOMAIN3,DOMAIN3,1,1
DOMAIN4,DOMAIN4,DOMAIN4,DOMAIN4,DOMAIN4,1,1
DOMAIN5,DOMAIN5,DOMAIN5,DOMAIN5,DOMAIN5,1,1
DOMAIN6,DOMAIN6,DOMAIN6,DOMAIN6,DOMAIN6,1,1
