Value,en,bs,sr,hr,Disaggregation combinations using this value,Number of indicators
_T,Total or not breakdown,Ukupno,Укупно,Ukupno,9,1
AGG_0_1,Primary education or less,Osnovno obrazovanje ili niže,Основно образовање или ниже,Osnovno obrazovanje ili niže,1,1
AGG_GE2,Secondary education or above,Srednje obrazovanje ili više,Средње образовање или више,Srednje obrazovanje ili više,1,1
ISCED11_1,ISCED11_1,ISCED11_1,ISCED11_1,ISCED11_1,49,2
ISCED11_2,ISCED11_2,ISCED11_2,ISCED11_2,ISCED11_2,59,2
ISCED11_3,ISCED11_3,ISCED11_3,ISCED11_3,ISCED11_3,44,1
LOWSEC,Lower secondary education,Niže srednje obrazovanje,Ниже средње образовање,Niže srednje obrazovanje,3,1
PRIMAR,Primary education,Osnovno obrazovanje,Основно образовање,Osnovno obrazovanje,3,1
UPPSEC,Upper secondary education,Više srednje obrazovanje,Више средње образовање,Više srednje obrazovanje,3,1
